length_score,keyword_score,dash_score,https_penalty,tld_score,label
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.0,0,0,0,0,0
3.3,10,10,20,0,0
2.5,10,5,0,0,0
2.6,10,5,0,0,0
2.7,10,5,20,0,0
2.4,10,0,0,0,0
2.5,10,5,20,0,0
2.6,10,5,20,0,0
2.5,10,5,20,0,0
1.9,0,0,20,0,0
1.9,0,0,0,0,0
3.2,20,5,0,0,0
2.4,10,5,20,0,0
2.7,10,5,0,0,0
1.9,0,0,0,0,0
2.7,10,5,0,0,0
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.5,10,5,20,0,0
2.6,10,5,0,0,0
2.4,10,5,20,0,0
2.6,10,5,20,0,0
2.6,10,5,20,0,0
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.0,0,0,0,0,0
2.0,0,0,0,0,0
2.0,0,0,0,0,0
2.7,10,5,0,0,0
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.6,10,5,20,0,0
2.4,10,0,20,0,0
2.6,10,5,20,0,0
1.9,0,0,20,0,0
2.0,0,0,0,0,0
2.4,10,0,0,0,0
2.5,10,5,0,0,0
3.4,20,10,0,0,0
3.1,20,5,20,0,0
3.2,20,5,0,0,0
2.6,10,5,20,0,0
1.9,0,0,20,0,0
2.6,10,5,0,0,0
2.0,0,0,0,0,0
2.7,10,5,0,0,0
2.6,10,5,0,0,0
2.5,10,0,0,0,0
2.6,10,5,20,0,0
2.6,10,5,20,0,0
3.1,20,10,0,0,0
3.1,20,5,0,0,0
2.6,10,5,20,0,0
2.5,10,0,0,0,0
2.5,10,5,0,0,0
3.3,20,10,20,0,1
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.0,0,0,0,0,0
2.6,10,5,0,0,0
2.6,10,5,20,0,0
2.7,10,5,0,0,0
2.4,10,5,20,0,0
2.7,10,5,0,0,0
3.2,20,5,0,0,0
2.0,0,0,0,0,0
2.5,10,5,20,0,0
2.6,10,5,20,0,0
1.9,0,0,0,0,0
3.2,20,5,0,0,0
2.5,10,5,20,0,0
3.8,30,10,0,0,0
2.7,10,5,0,0,0
3.5,20,10,0,0,0
2.7,10,5,0,0,0
2.0,0,0,0,0,0
2.6,10,5,20,0,0
3.1,20,5,0,0,0
3.2,20,5,20,0,0
3.0,20,5,0,0,0
2.4,10,0,20,0,0
1.9,0,0,20,0,0
2.0,0,0,0,0,0
2.4,10,0,0,0,0
3.2,20,10,0,0,0
2.6,10,5,0,0,0
2.5,10,5,0,0,0
2.5,10,5,20,0,0
2.6,10,5,0,0,0
2.0,0,0,0,0,0
2.5,10,0,0,0,0
2.5,10,5,20,0,0
2.4,10,5,20,0,0
2.7,10,5,0,0,0
2.7,10,5,0,0,0
2.5,10,5,0,0,0
2.6,10,5,20,0,0
2.5,10,5,20,0,0
1.9,0,0,20,0,0
2.7,10,5,0,0,0
2.7,10,5,0,0,0
1.9,0,0,0,0,0
2.6,10,5,20,0,0
3.0,20,5,20,0,1
2.0,0,0,0,0,0
1.9,0,0,20,0,0
2.5,10,5,20,0,0
2.6,10,5,0,0,0
2.7,10,5,0,0,0
2.4,10,5,20,0,0
2.6,10,5,0,0,0
2.7,10,5,0,0,0
3.2,20,5,0,0,0
